leto,mesto,drzava,pesem,izvajalec,tocke,tocke_publike,tocke_zirije,startna_stevilka
2014,3,Sweden,Undo,Sanna Nielsen,218,,,13
2014,4,Armenia,Not Alone,Aram MP3,174,,,7
2014,5,Hungary,Running,András Kállay-Saunders,143,,,21
2014,6,Ukraine,Tick - Tock,Mariya Yaremchuk,113,,,1
2014,7,Russia,Shine,Tolmachevy Sisters,89,,,15
2014,8,Norway,Silent Storm,Carl Espen,88,,,5
2014,9,Denmark,Cliche Love Song,Basim,74,,,23
2014,10,Spain,Dancing In The Rain,Ruth Lorenzo,74,,,19
2014,11,Finland,Something Better,Softengine,72,,,18
2014,12,Romania,Miracle,Paula Seling & OVI,72,,,6
2014,13,Switzerland,Hunter Of Stars,Sebalter,64,,,20
2014,14,Poland,My Słowianie - We Are Slavic,Donatan & Cleo,62,,,9
2014,15,Iceland,No Prejudice,Pollapönk,58,,,4
2014,16,Belarus,Cheesecake,Teo,43,,,2
2014,17,United Kingdom,Children of the Universe,Molly,40,,,26
2014,18,Germany,Is It Right,Elaiza,39,,,12
2014,19,Montenegro,Moj svijet,Sergej Ćetković,37,,,8
2014,20,Greece,Rise Up,Freaky Fortune feat. RiskyKidd,35,,,10
2014,21,Italy,La mia città,Emma,33,,,16
2014,22,Azerbaijan,Start A Fire,Dilara Kazimova,33,,,3
2014,23,Malta,Coming Home,Firelight,32,,,22
2014,24,San Marino,Maybe (Forse),Valentina Monetta,14,,,25
2014,25,Slovenia,Round and Round,Tinkara Kovač,9,,,17
2014,26,France,Moustache,Twin Twin,2,,,14
2015,1,Sweden,Heroes,Måns Zelmerlöw,365,,,10
2015,2,Russia,A Million Voices,Polina Gagarina,303,,,25
2015,3,Italy,Grande amore,Il Volo,292,,,27
2015,4,Belgium,Rhythm Inside,Loïc Nottet,217,,,13
2015,5,Australia,Tonight Again,Guy Sebastian,196,,,12
2015,6,Latvia,Love Injected,Aminata,186,,,19
2015,7,Estonia,Goodbye to Yesterday,Elina Born & Stig Rästa,106,,,4
2015,8,Norway,A Monster Like Me,Mørland & Debrah Scarlett,102,,,9
2015,9,Israel,Golden Boy,Nadav Guedj,97,,,3
2015,10,Serbia,Beauty Never Lies,Bojana Stamenov,53,,,8
2015,11,Georgia,Warrior,Nina Sublatti,51,,,23
2015,12,Azerbaijan,Hour Of The Wolf,Elnur Hüseynov,49,,,24
2015,13,Montenegro,Adio,Knez,44,,,16
2015,14,Slovenia,Here for You,Maraaya,39,,,1
2015,15,Romania,De la capăt / All Over Again,Voltaj,35,,,20
2015,16,Armenia,Face The Shadow,Genealogy,34,,,6
2015,17,Albania,I'm Alive,Elhaida Dani,34,,,26
2015,18,Lithuania,This Time,Monika & Vaidas,30,,,7
2015,19,Greece,One Last Breath,Maria Elena Kyriakou,23,,,15
2015,20,Hungary,Wars For Nothing,Boggie,19,,,22
2015,21,Spain,Amanecer,Edurne,15,,,21
2015,22,Cyprus,One Thing I Should Have Done,John Karayiannis,11,,,11
2015,23,Poland,In The Name Of Love,Monika Kuszyńska,10,,,18
2015,24,United Kingdom,Still in Love with You,Electro Velvet,5,,,5
2015,25,France,N’oubliez pas,Lisa Angell,4,,,2
2015,26,Austria,I Am Yours,The Makemakes,0,,,14
2015,27,Germany,Black Smoke,Ann Sophie,0,,,17
2016,1,Ukraine,1944,Jamala,534,323,211,21
2016,2,Australia,Sound of Silence,Dami Im,511,191,320,13
2016,3,Russia,You Are the Only One,Sergey Lazarev,491,361,130,18
2016,4,Bulgaria,If Love Was a Crime,Poli Genova,307,180,127,8
2016,5,Sweden,If I Were Sorry,Frans,261,139,122,9
2016,6,France,J'ai cherché,Amir,257,109,148,11
2016,7,Armenia,LoveWave,Iveta Mukuchyan,249,134,115,26
2016,8,Poland,Color of Your Life,Michał Szpak,229,222,7,12
2016,9,Lithuania,I've Been Waiting for This Night,Donny Montell,200,96,104,16
2016,10,Belgium,What's the Pressure,Laura Tesoro,181,51,130,1
2016,11,Netherlands,Slow Down,Douwe Bob,153,39,114,3
2016,12,Malta,Walk on Water,Ira Losco,153,16,137,22
2016,13,Austria,Loin d'ici,Zoë,151,120,31,24
2016,14,Israel,Made of Stars,Hovi Star,135,11,124,7
2016,15,Latvia,Heartbeat,Justs,132,63,69,20
2016,16,Italy,No Degree of Separation,Francesca Michielin,124,34,90,6
2016,17,Azerbaijan,Miracle,Samra,117,73,44,4
2016,18,Serbia,Goodbye (Shelter),Sanja Vučić ZAA,115,80,35,15
2016,19,Hungary,Pioneer,Freddie,108,56,52,5
2016,20,Georgia,Midnight Gold,Nika Kocharov & Young Georgian Lolitaz,104,24,80,23
2016,21,Cyprus,Alter Ego,Minus One,96,53,43,14
2016,22,Spain,Say Yay!,Barei,77,10,67,19
2016,23,Croatia,Lighthouse,Nina Kraljić,73,33,40,17
2016,24,United Kingdom,You're Not Alone,Joe & Jake,62,8,54,25
2016,25,Czechia,I Stand,Gabriela Gunčíková,41,0,41,2
2016,26,Germany,Ghost,Jamie-Lee,11,10,1,10
2017,1,Portugal,Amar pelos dois,Salvador Sobral,758,376,382,11
2017,2,Bulgaria,Beautiful Mess,Kristian Kostov,615,337,278,25
2017,3,Moldova,Hey Mamma,Sunstroke Project,374,264,110,7
2017,4,Belgium,City Lights,Blanche,363,255,108,23
2017,5,Sweden,I Can't Go On,Robin Bengtsson,344,126,218,24
2017,6,Italy,Occidentali's Karma,Francesco Gabbani,334,208,126,9
2017,7,Romania,Yodel It!,Ilinca feat. Alex Florea,282,224,58,20
2017,8,Hungary,Origo,Joci Pápai,200,152,48,8
2017,9,Australia,Don't Come Easy,Isaiah,173,2,171,14
2017,10,Norway,Grab the Moment,Jowst,158,29,129,17
2017,11,Netherlands,Lights And Shadows,OG3NE,150,15,135,6
2017,12,France,Requiem,Alma,135,90,45,26
2017,13,Croatia,My Friend,Jacques Houdek,128,103,25,13
2017,14,Azerbaijan,Skeletons,Dihaj,120,42,78,12
2017,15,United Kingdom,Never Give Up on You,Lucie Jones,111,12,99,18
2017,16,Austria,Running On Air,Nathan Trent,93,0,93,4
2017,17,Belarus,Story Of My Life,Naviband,83,33,50,3
2017,18,Armenia,Fly With Me,Artsvik,79,21,58,5
2017,19,Greece,This is Love,Demy,77,29,48,15
2017,20,Denmark,Where I Am,Anja,77,8,69,10
2017,21,Cyprus,Gravity,Hovig,68,32,36,19
2017,22,Poland,Flashlight,Kasia Moś,64,41,23,2
2017,23,Israel,I Feel Alive,Imri Ziv,39,5,34,1
2017,24,Ukraine,Time,O.Torvald,36,24,12,22
2017,25,Germany,Perfect Life,Levina,6,3,3,21
2017,26,Spain,Do It for Your Lover,Manel Navarro,5,5,0,16
2018,1,Israel,Toy,Netta,529,317,212,22
2018,2,Cyprus,Fuego,Eleni Foureira,436,253,183,25
2018,3,Austria,Nobody But You,Cesár Sampson,342,71,271,5
2018,4,Germany,You Let Me Walk Alone,Michael Schulte,340,136,204,11
2018,5,Italy,Non mi avete fatto niente,Ermal Meta & Fabrizio Moro,308,249,59,26
2018,6,Czechia,Lie To Me,Mikolas Josef,281,215,66,14
2018,7,Sweden,Dance You Off,Benjamin Ingrosso,274,21,253,20
2018,8,Estonia,La forza,Elina Nechayeva,245,102,143,6
2018,9,Denmark,Higher Ground,Rasmussen,226,188,38,15
2018,10,Moldova,My Lucky Day,DoReDos,209,115,94,19
2018,11,Albania,Mall,Eugent Bushpepa,184,58,126,12
2018,12,Lithuania,When We're Old,Ieva Zasimauskaitė,181,91,90,4
2018,13,France,Mercy,Madame Monsieur,173,59,114,13
2018,14,Bulgaria,Bones,Equinox,166,66,100,18
2018,15,Norway,That's How You Write a Song,Alexander Rybak,144,84,60,7
2018,16,Ireland,Together,Ryan O'Shaughnessy,136,62,74,24
2018,17,Ukraine,Under The Ladder,Mélovin,130,119,11,1
2018,18,Netherlands,Outlaw In 'Em,Waylon,121,32,89,23
2018,19,Serbia,Nova deca,Sanja Ilić & Balkanika,113,75,38,10
2018,20,Australia,We Got Love,Jessica Mauboy,99,9,90,16
2018,21,Hungary,Viszlát nyár,AWS,93,65,28,21
2018,22,Slovenia,"Hvala, ne!",Lea Sirk,64,23,41,3
2018,23,Spain,Tu canción,Amaia & Alfred,61,18,43,2
2018,24,United Kingdom,Storm,SuRie,48,25,23,9
2018,25,Finland,Monsters,Saara Aalto,46,23,23,17
2018,26,Portugal,O jardim,Cláudia Pascoal,39,18,21,8
2019,1,Netherlands,Arcade,Duncan Laurence,498,261,237,12
2019,2,Italy,Soldi,Mahmood,472,253,219,22
2019,3,Russia,Scream,Sergey Lazarev,370,244,126,5
2019,4,Switzerland,She Got Me,Luca Hänni,364,212,152,24
2019,5,Sweden,Too Late for Love,John Lundvik,334,93,241,9
2019,6,Norway,Spirit In The Sky,KEiiNO,331,291,40,15
2019,7,North Macedonia,Proud,Tamara Todevska,305,58,247,8
2019,8,Azerbaijan,Truth,Chingiz,302,100,202,20
2019,9,Australia,Zero Gravity,Kate Miller-Heidke,284,131,153,25
2019,10,Iceland,Hatrið mun sigra,Hatari,232,186,46,17
2019,11,Czechia,Friend of a Friend,Lake Malawi,157,7,150,3
2019,12,Denmark,Love is Forever,Leonora,120,51,69,6
2019,13,Cyprus,Replay,Tamta,109,32,77,11
2019,14,Malta,Chameleon,Michela,107,20,87,1
2019,15,Slovenia,Sebi,Zala Kralj & Gašper Šantl,105,59,46,10
2019,16,France,Roi,Bilal Hassani,105,38,67,21
2019,17,Albania,Ktheju tokës,Jonida Maliqi,90,47,43,2
2019,18,Serbia,Kruna,Nevena Božović,89,54,35,23
2019,19,San Marino,Say Na Na Na,Serhat,77,65,12,7
2019,20,Estonia,Storm,Victor Crone,76,48,28,18
2019,21,Greece,Better Love,Katerine Duska,74,24,50,13
2019,22,Spain,La venda,Miki,54,53,1,26
2019,23,Israel,Home,Kobi Marimi,35,35,0,14
2019,24,Belarus,Like It,Zena,31,13,18,19
2019,25,Germany,Sister,S!sters,24,0,24,4
2019,26,United Kingdom,Bigger Than Us,Michael Rice,11,3,8,16
2021,1,Italy,Zitti e buoni,Måneskin,524,318,206,24
2021,2,France,Voilà,Barbara Pravi,499,251,248,20
2021,3,Switzerland,Tout l'univers,Gjon's Tears,432,165,267,11
2021,4,Iceland,10 Years,Daði & Gagnamagnið,378,180,198,12
2021,5,Ukraine,Shum,Go_A,364,267,97,19
2021,6,Finland,Dark Side,Blind Channel,301,218,83,16
2021,7,Malta,Je me casse,Destiny,255,47,208,6
2021,8,Lithuania,Discoteque,The Roop,220,165,55,18
2021,9,Russia,Russian Woman,Manizha,204,100,104,5
2021,10,Greece,Last Dance,Stefania,170,79,91,10
2021,11,Bulgaria,Growing Up Is Getting Old,Victoria,170,30,140,17
2021,12,Portugal,Love Is On My Side,The Black Mamba,153,27,126,7
2021,13,Moldova,Sugar,Natalia Gordienko,115,62,53,14
2021,14,Sweden,Voices,Tusse,109,63,46,25
2021,15,Serbia,Loco Loco,Hurricane,102,82,20,8
2021,16,Cyprus,El Diablo,Elena Tsagrinou,94,44,50,1
2021,17,Israel,Set Me Free,Eden Alene,93,20,73,3
2021,18,Norway,Fallen Angel,TIX,75,60,15,22
2021,19,Belgium,The Wrong Place,Hooverphonic,74,3,71,4
2021,20,Azerbaijan,Mata Hari,Efendi,65,33,32,21
2021,21,Albania,Karma,Anxhela Peristeri,57,35,22,2
2021,22,San Marino,Adrenalina,Senhit feat. Flo Rida,50,13,37,26
2021,23,Netherlands,Birth Of A New Age,Jeangu Macrooy,11,0,11,23
2021,24,Spain,Voy a quedarme,Blas Cantó,6,0,6,13
2021,25,Germany,I Don't Feel Hate,Jendrik,3,0,3,15
2021,26,United Kingdom,Embers,James Newman,0,0,0,9
2022,1,Ukraine,Stefania,Kalush Orchestra,631,439,192,12
2022,2,United Kingdom,Space Man,Sam Ryder,466,183,283,22
2022,3,Spain,SloMo,Chanel,459,228,231,10
2022,4,Sweden,Hold Me Closer,Cornelia Jakobs,438,180,258,20
2022,5,Serbia,In corpore sano,Konstrakta,312,225,87,24
2022,6,Italy,Brividi,Mahmood & Blanco,268,110,158,9
2022,7,Moldova,Trenulețul,Zdob și Zdub & Advahov Brothers,253,239,14,19
2022,8,Greece,Die Together,Amanda Georgiadi Tenfjord,215,57,158,17
2022,9,Portugal,"Saudade, saudade",Maro,207,36,171,3
2022,10,Norway,Give That Wolf a Banana,Subwoolfer,182,146,36,7
2022,11,Netherlands,De diepte,S10,171,42,129,11
2022,12,Poland,River,Ochman,151,105,46,23
2022,13,Estonia,Hope,Stefan,141,98,43,25
2022,14,Lithuania,Sentimentai,Monika Liu,128,93,35,14
2022,15,Australia,Not The Same,Sheldon Riley,125,2,123,21
2022,16,Azerbaijan,Fade To Black,Nadir Rustamli,106,3,103,15
2022,17,Switzerland,Boys Do Cry,Marius Bear,78,0,78,5
2022,18,Romania,Llámame,WRS,65,53,12,2
2022,19,Belgium,Miss You,Jérémie Makiese,64,5,59,16
2022,20,Armenia,Snap,Rosa Linn,61,21,40,8
2022,21,Finland,Jezebel,The Rasmus,38,26,12,4
2022,22,Czechia,Lights Off,We Are Domi,38,5,33,1
2022,23,Iceland,Með hækkandi sól,Systur,20,10,10,18
2022,24,France,Fulenn,Alvan & Ahez,17,8,9,6
2022,25,Germany,Rockstars,Malik Harris,6,6,0,13
2023,1,Sweden,Tattoo,Loreen,583,243,340,9
2023,2,Finland,Cha Cha Cha,Käärijä,526,376,150,13
2023,3,Israel,Unicorn,Noa Kirel,362,185,177,23
2023,4,Italy,Due vite,Marco Mengoni,350,174,176,11
2023,5,Norway,Queen of Kings,Alessandra,268,216,52,20
2023,6,Ukraine,Heart of Steel,Tvorchi,243,189,54,19
2023,7,Belgium,Because of You,Gustaph,182,55,127,16
2023,8,Estonia,Bridges,Alika,168,22,146,12
2023,9,Australia,Promise,Voyager,151,21,130,15
2023,10,Czechia,My Sister's Crown,Vesna,129,35,94,14
2023,11,Lithuania,Stay,Monika Linkytė,127,46,81,22
2023,12,Cyprus,Break a Broken Heart,Andrew Lambrou,126,58,68,7
2023,13,Croatia,Mama ŠČ!,Let 3,123,112,11,25
2023,14,Armenia,Future Lover,Brunette,122,53,69,17
2023,15,Austria,Who The Hell Is Edgar?,Teya & Salena,120,16,104,1
2023,16,France,Évidemment,La Zarra,104,50,54,6
2023,17,Spain,Eaea,Blanca Paloma,100,5,95,8
2023,18,Moldova,Soarele și Luna,Pasha Parfeni,96,76,20,18
2023,19,Poland,Solo,Blanka,93,81,12,4
2023,20,Switzerland,Watergun,Remo Forrer,92,31,61,3
2023,21,Slovenia,Carpe Diem,Joker Out,78,45,33,24
2023,22,Albania,Duje,Albina & Familja Kelmendi,76,59,17,10
2023,23,Portugal,Ai coração,Mimicat,59,16,43,2
2023,24,Serbia,Samo mi se spava,Luke Black,30,16,14,5
2023,25,United Kingdom,I Wrote A Song,Mae Muller,24,9,15,26
2023,26,Germany,Blood & Glitter,Lord Of The Lost,18,15,3,21
2024,1,Switzerland,The Code,Nemo,591,226,365,21
2024,2,Croatia,Rim Tim Tagi Dim,Baby Lasagna,547,337,210,23
2024,3,Ukraine,Teresa & Maria,alyona alyona & Jerry Heil,453,307,146,2
2024,4,France,Mon amour,Slimane,445,227,218,25
2024,5,Israel,Hurricane,Eden Golan,375,323,52,6
2024,6,Ireland,Doomsday Blue,Bambie Thug,278,136,142,10
2024,7,Italy,La noia,Angelina Mango,268,104,164,15
2024,8,Armenia,Jako,Ladaniva,183,82,101,19
2024,9,Sweden,Unforgettable,Marcus & Martinus,174,49,125,1
2024,10,Portugal,Grito,Iolanda,152,13,139,18
2024,11,Greece,Zari,Marina Satti,126,85,41,12
2024,12,Germany,Always on the Run,Isaak,117,18,99,3
2024,13,Luxembourg,Fighter,Tali,103,20,83,4
2024,14,Lithuania,Luktelk,Silvester Belt,90,58,32,7
2024,15,Cyprus,Liar,Silia Kapsis,78,44,34,20
2024,16,Latvia,Hollow,Dons,64,28,36,11
2024,17,Serbia,Ramonda,Teya Dora,54,32,22,16
2024,18,United Kingdom,Dizzy,Olly Alexander,46,0,46,13
2024,19,Finland,No Rules!,Windows95man,38,31,7,17
2024,20,Estonia,(nendest) narkootikumidest ei tea me (küll) midagi,5miinust & Puuluup,37,33,4,9
2024,21,Georgia,Firefighter,Nutsa Buzaladze,34,19,15,24
2024,22,Spain,Zorra,Nebulossa,30,11,19,8
2024,23,Slovenia,Veronika,Raiven,27,12,15,22
2024,24,Austria,We Will Rave,Kaleen,24,5,19,26
2024,25,Norway,Ulveham,Gåte,16,4,12,14
2025,1,Austria,Wasted Love,JJ,436,178,258,9
2025,2,Israel,New Day Will Rise,Yuval Raphael,357,297,60,4
2025,3,Estonia,Espresso macchiato,Tommy Cash,356,258,98,3
2025,4,Sweden,Bara bada bastu,KAJ,321,195,126,23
2025,5,Italy,Volevo essere un duro,Lucio Corsi,256,97,159,14
2025,6,Greece,Asteromáta,Klavdia,231,126,105,17
2025,7,France,Maman,Louane,230,50,180,24
2025,8,Albania,Zjerm,Shkodra Elektronike,218,173,45,26
2025,9,Ukraine,Bird of Pray,Ziferblat,218,158,60,7
2025,10,Switzerland,Voyage,Zoë Më,214,0,214,19
2025,11,Finland,Ich komme,Erika Vikman,196,108,88,13
2025,12,Netherlands,C'est La Vie,Claude,175,42,133,12
2025,13,Latvia,Bur man laimi,Tautumeitas,158,42,116,11
2025,14,Poland,Gaja,Justyna Steczkowska,156,139,17,15
2025,15,Germany,Baller,Abor & Tynna,151,74,77,16
2025,16,Lithuania,Tavo akys,Katarsis,96,62,34,5
2025,17,Malta,Serving,Miriana Conte,91,8,83,20
2025,18,Norway,Lighter,Kyle Alessandro,89,67,22,1
2025,19,United Kingdom,What The Hell Just Happened?,Remember Monday,88,0,88,8
2025,20,Armenia,Survivor,Parg,72,30,42,18
2025,21,Portugal,Deslocado,Napa,50,13,37,21
2025,22,Luxembourg,La poupée monte le son,Laura Thorn,47,24,23,2
2025,23,Denmark,Hallucination,Sissal,47,2,45,22
2025,24,Spain,Esa diva,Melody,37,10,27,6
2025,25,Iceland,Róa,Væb,33,33,0,10
2025,26,San Marino,Tutta l'Italia,Gabry Ponte,27,18,9,25
2026,1,Bulgaria,Bangaranga,Dara,516,312,204,12
2026,2,Israel,Michelle,Noam Bettan,343,220,123,3
2026,3,Romania,Choke Me,Alexandra Căpitănescu,296,232,64,24
2026,4,Australia,Eclipse,Delta Goodrem,287,122,165,8
2026,5,Italy,Per sempre sì,Sal Da Vinci,281,147,134,22
2026,6,Finland,Liekinheitin,Linda Lampenius & Pete Parkkonen,279,138,141,17
2026,7,Denmark,Før vi går hjem,Søren Torpegaard Lund,243,78,165,1
2026,8,Moldova,"Viva, Moldova",Satoshi,226,183,43,16
2026,9,Ukraine,Ridnym,Leléka,221,167,54,7
2026,10,Greece,Ferto,Akylas,220,147,73,6
2026,11,France,Regarde !,Monroe,158,14,144,15
2026,12,Poland,Pray,Alicja,150,17,133,18
2026,13,Albania,Nân,Alis,145,85,60,5
2026,14,Norway,Ya ya ya,Jonas Lovv,134,19,115,23
2026,15,Croatia,Andromeda,Lelek,124,71,53,13
2026,16,Czechia,Crossroads,Daniel Žižka,113,9,104,11
2026,17,Serbia,Kraj mene,Lavina,90,52,38,9
2026,18,Malta,Bella,Aidan,89,8,81,10
2026,19,Cyprus,Jalla,Antigoni,75,34,41,21
2026,20,Sweden,My System,Felicia,51,16,35,20
2026,21,Belgium,Dancing on the Ice,Essyla,36,0,36,4
2026,22,Lithuania,Sólo quiero más,Lion Ceccah,22,12,10,19
2026,23,Germany,Fire,Sarah Engels,12,0,12,2
2026,24,Austria,Tanzschein,Cosmó,6,5,1,25
2026,25,United Kingdom,"Eins, Zwei, Drei",Look Mum No Computer,1,0,1,14
